"Datetime","Filter_code","Codice.Stazione","Altitudine","Esposizione","LatUTM","LongUTM","Data","Ora","HS","Density_Avg","SWE_tot"
"2012-10-31 08:30:00","2012-10-31 08:30:00_19PF","19PF","1170","SE","669131","5069560","2012-10-31","08:30",25,235.734721192,58.933680298
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN","30PN","2735","NE","621741","5120602","2012-11-07","09:00",75,254.153369596,190.615027197
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN","30PN","2735","NE","621741","5120602","2012-11-14","09:00",118,279.756377428814,330.112525366
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN","30PN","2735","NE","621741","5120602","2012-11-21","09:00",108,292.461013644444,315.857894736
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN","30PN","2735","NE","621741","5120602","2012-11-28","09:20",145,247.27173885931,358.544021346
"2012-12-05 11:00:00","2012-12-05 11:00:00_29FL","29FL","1890","E ","642242","5127946","2012-12-05","11:00",72,253.609006731944,182.598484847
"2012-12-06 09:00:00","2012-12-06 09:00:00_0","0","NULL","\ ","NULL","NULL","2012-12-06","09:00",77,224.376836279221,172.770163935
"2012-12-06 09:00:00","2012-12-06 09:00:00_30PN","30PN","2735","NE","621741","5120602","2012-12-06","09:00",175,283.470498038286,496.073371567
"2012-12-12 07:40:00","2012-12-12 07:40:00_26SP","26SP","1980","SW","714927","5140531","2012-12-12","07:40",45,255.650436955556,115.04269663
"2012-12-12 08:30:00","2012-12-12 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2012-12-12","08:30",45,221.671420688889,99.75213931
"2012-12-12 08:45:00","2012-12-12 08:45:00_30PN","30PN","2735","NE","621741","5120602","2012-12-12","08:45",163,293.210397758896,477.932948347
"2012-12-12 09:00:00","2012-12-12 09:00:00_29FL","29FL","1890","E ","642242","5127946","2012-12-12","09:00",69,249.847584398551,172.394833235
"2012-12-12 09:30:00","2012-12-12 09:30:00_3PIN","3PIN","1885","W ","639889","5114784","2012-12-12","09:30",51,440.78431372549,224.8
"2012-12-12 15:00:00","2012-12-12 15:00:00_43BU","43BU","2060","SW","709265","5145471","2012-12-12","15:00",32,254.43779315,81.420093808
"2012-12-14 09:00:00","2012-12-14 09:00:00_25TO","25TO","1880","S ","623059","5124460","2012-12-14","09:00",67,307.443601664179,205.987213115
"2012-12-19 08:00:00","2012-12-19 08:00:00_22CI","22CI","2145","NE","712858","5147444","2012-12-19","08:00",68,244.482097183823,166.247826085
"2012-12-19 08:00:00","2012-12-19 08:00:00_26SP","26SP","1980","SW","714927","5140531","2012-12-19","08:00",56,240.531135528571,134.697435896
"2012-12-19 08:20:00","2012-12-19 08:20:00_15TR","15TR","1550","W ","630778","5077835","2012-12-19","08:20",40,93.5,37.4
"2012-12-19 08:30:00","2012-12-19 08:30:00_16PT","16PT","1608","S ","705786","5110460","2012-12-19","08:30",45,36.3215458888889,16.34469565
"2012-12-19 08:30:00","2012-12-19 08:30:00_19PF","19PF","1170","SE","669131","5069560","2012-12-19","08:30",22,302.237683286364,66.492290323
"2012-12-19 08:30:00","2012-12-19 08:30:00_25TO","25TO","1880","S ","623059","5124460","2012-12-19","08:30",87,273.672111310345,238.09473684
"2012-12-19 08:40:00","2012-12-19 08:40:00_1PEI","1PEI","1985","SE","627885","5136546","2012-12-19","08:40",75,216.115927750667,162.086945813
"2012-12-19 08:45:00","2012-12-19 08:45:00_18SB","18SB","1600","SW","715519","5120132","2012-12-19","08:45",43,167.682582402326,72.103510433
"2012-12-19 08:55:00","2012-12-19 08:55:00_11AN","11AN","1047","NE","654463","5115044","2012-12-19","08:55",30,255.74686223,76.724058669
"2012-12-19 09:00:00","2012-12-19 09:00:00_13PR","13PR","1675","SW","698219","5135084","2012-12-19","09:00",31,218.104131287097,67.612280699
"2012-12-19 09:00:00","2012-12-19 09:00:00_29FL","29FL","1890","E ","642242","5127946","2012-12-19","09:00",80,257.28438771625,205.827510173
"2012-12-19 10:30:00","2012-12-19 10:30:00_10PM","10PM","1760","SE","695429","5135226","2012-12-19","10:30",31,218.104131287097,67.612280699
"2012-12-19 10:45:00","2012-12-19 10:45:00_3PIN","3PIN","1885","W ","639889","5114784","2012-12-19","10:45",72,193.333333333333,139.2
"2012-12-19 10:50:00","2012-12-19 10:50:00_0","0","NULL","\ ","NULL","NULL","2012-12-19","10:50",66,251.664622769697,166.098651028
"2012-12-19 13:45:00","2012-12-19 13:45:00_10MS","10MS","1985","SW","696357","5135781","2012-12-19","13:45",46,192.248238521739,88.43418972
"2012-12-20 09:00:00","2012-12-20 09:00:00_30PN","30PN","2735","NE","621741","5120602","2012-12-20","09:00",158,299.316501008228,472.920071593
"2012-12-20 15:10:00","2012-12-20 15:10:00_43BU","43BU","2060","SW","709265","5145471","2012-12-20","15:10",42,237.08058607619,99.573846152
"2012-12-23 09:10:00","2012-12-23 09:10:00_20BA","20BA","1320","SW","689890","5113367","2012-12-23","09:10",50,171.2,85.6
"2012-12-24 00:00:00","2012-12-24 00:00:00_35VC","35VC","1880","SE","712817","5126802","2012-12-24","00:00",56,253.090659341071,141.730769231
"2012-12-24 10:55:00","2012-12-24 10:55:00_10NT","10NT","2080","NW","696600","5134383","2012-12-24","10:55",60,249.993050713333,149.995830428
"2012-12-26 08:30:00","2012-12-26 08:30:00_10PM","10PM","1760","SE","695429","5135226","2012-12-26","08:30",29,250,72.5
"2012-12-26 08:30:00","2012-12-26 08:30:00_16PT","16PT","1608","S ","705786","5110460","2012-12-26","08:30",36,0,0
"2012-12-26 08:30:00","2012-12-26 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2012-12-26","08:30",76,239.071637426316,181.694444444
"2012-12-26 08:45:00","2012-12-26 08:45:00_11AN","11AN","1047","NE","654463","5115044","2012-12-26","08:45",23,250.794300326087,57.682689075
"2012-12-26 08:45:00","2012-12-26 08:45:00_29FL","29FL","1890","E ","642242","5127946","2012-12-26","08:45",75,306.337671706667,229.75325378
"2012-12-26 08:50:00","2012-12-26 08:50:00_22CI","22CI","2145","NE","712858","5147444","2012-12-26","08:50",67,277.714061271642,186.068421052
"2012-12-26 09:00:00","2012-12-26 09:00:00_30PN","30PN","2735","NE","621741","5120602","2012-12-26","09:00",168,298.090516702976,500.792068061
"2012-12-26 09:05:00","2012-12-26 09:05:00_3PIN","3PIN","1885","W ","639889","5114784","2012-12-26","09:05",68,350.588235294118,238.4
"2012-12-26 10:00:00","2012-12-26 10:00:00_13PR","13PR","1675","SW","698219","5135084","2012-12-26","10:00",34,260,88.4
"2012-12-27 00:00:00","2012-12-27 00:00:00_26SP","26SP","1980","SW","714927","5140531","2012-12-27","00:00",53,262.550359786792,139.151690687
"2012-12-27 08:30:00","2012-12-27 08:30:00_25TO","25TO","1880","S ","623059","5124460","2012-12-27","08:30",84,311.930641821429,262.02173913
"2012-12-28 08:00:00","2012-12-28 08:00:00_18SB","18SB","1600","SW","715519","5120132","2012-12-28","08:00",35,175.800588634286,61.530206022
"2012-12-31 11:00:00","2012-12-31 11:00:00_20BA","20BA","1320","SW","689890","5113367","2012-12-31","11:00",95,300.148416684211,285.14099585
"2013-01-02 07:30:00","2013-01-02 07:30:00_26SP","26SP","1980","SW","714927","5140531","2013-01-02","07:30",54,247.029143898148,133.395737705
"2013-01-02 08:30:00","2013-01-02 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2013-01-02","08:30",77,260.200780811688,200.354601225
"2013-01-02 08:30:00","2013-01-02 08:30:00_25TO","25TO","1880","S ","623059","5124460","2013-01-02","08:30",94,306.489361702128,288.1
"2013-01-02 08:35:00","2013-01-02 08:35:00_15TR","15TR","1550","W ","630778","5077835","2013-01-02","08:35",35,253.758636331429,88.815522716
"2013-01-02 08:40:00","2013-01-02 08:40:00_11AN","11AN","1047","NE","654463","5115044","2013-01-02","08:40",25,219.39848092,54.84962023
"2013-01-02 09:00:00","2013-01-02 09:00:00_10PM","10PM","1760","SE","695429","5135226","2013-01-02","09:00",33,278.231220621212,91.816302805
"2013-01-02 09:00:00","2013-01-02 09:00:00_18SB","18SB","1600","SW","715519","5120132","2013-01-02","09:00",37,126.431563886486,46.779678638
"2013-01-02 09:00:00","2013-01-02 09:00:00_22CI","22CI","2145","NE","712858","5147444","2013-01-02","09:00",74,258.745276171622,191.471504367
"2013-01-02 09:00:00","2013-01-02 09:00:00_30PN","30PN","2735","NE","621741","5120602","2013-01-02","09:00",183,299.406671597814,547.914209024
"2013-01-02 09:20:00","2013-01-02 09:20:00_29FL","29FL","1890","E ","642242","5127946","2013-01-02","09:20",85,278.372372824706,236.616516901
"2013-01-02 10:00:00","2013-01-02 10:00:00_3PIN","3PIN","1885","W ","639889","5114784","2013-01-02","10:00",73,250.590280334247,182.930904644
"2013-01-02 10:30:00","2013-01-02 10:30:00_13PR","13PR","1675","SW","698219","5135084","2013-01-02","10:30",38,301.216641184211,114.46232365
"2013-01-02 13:30:00","2013-01-02 13:30:00_35VC","35VC","1880","SE","712817","5126802","2013-01-02","13:30",57,270.886247880702,154.405161292
"2013-01-03 10:00:00","2013-01-03 10:00:00_0","0","NULL","\ ","NULL","NULL","2013-01-03","10:00",70,274.507109217143,192.154976452
"2013-01-09 00:00:00","2013-01-09 00:00:00_11AN","11AN","1047","NE","654463","5115044","2013-01-09","00:00",20,302.292753625,60.458550725
"2013-01-09 00:00:00","2013-01-09 00:00:00_22CI","22CI","2145","NE","712858","5147444","2013-01-09","00:00",71,264.180874721127,187.568421052
"2013-01-09 00:00:00","2013-01-09 00:00:00_26SP","26SP","1980","SW","714927","5140531","2013-01-09","00:00",46,271.96493688913,125.103870969
"2013-01-09 08:00:00","2013-01-09 08:00:00_10PM","10PM","1760","SE","695429","5135226","2013-01-09","08:00",28,313.377329185714,87.745652172
"2013-01-09 08:00:00","2013-01-09 08:00:00_15TR","15TR","1550","W ","630778","5077835","2013-01-09","08:00",31,300.810720203226,93.251323263
"2013-01-09 08:30:00","2013-01-09 08:30:00_19PF","19PF","1170","SE","669131","5069560","2013-01-09","08:30",20,198.14947335,39.62989467
"2013-01-09 08:30:00","2013-01-09 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2013-01-09","08:30",64,263.520217390625,168.65293913
"2013-01-09 09:00:00","2013-01-09 09:00:00_29FL","29FL","1890","E ","642242","5127946","2013-01-09","09:00",80,321.81704055125,257.453632441
"2013-01-09 09:00:00","2013-01-09 09:00:00_3PIN","3PIN","1885","W ","639889","5114784","2013-01-09","09:00",71,228.463717083099,162.209239129
"2013-01-09 09:10:00","2013-01-09 09:10:00_30PN","30PN","2735","NE","621741","5120602","2013-01-09","09:10",168,331.974657716071,557.717424963
"2013-01-09 09:30:00","2013-01-09 09:30:00_13PR","13PR","1675","SW","698219","5135084","2013-01-09","09:30",30,306.218840573333,91.865652172
"2013-01-09 10:30:00","2013-01-09 10:30:00_0","0","NULL","\ ","NULL","NULL","2013-01-09","10:30",75,305.013127469333,228.759845602
"2013-01-09 15:35:00","2013-01-09 15:35:00_43BU","43BU","2060","SW","709265","5145471","2013-01-09","15:35",40,249.2307692325,99.692307693
"2013-01-10 08:00:00","2013-01-10 08:00:00_42LU","42LU","2050","NE","706376","5136019","2013-01-10","08:00",60,244.63452502,146.780715012
"2013-01-10 09:30:00","2013-01-10 09:30:00_25TO","25TO","1880","S ","623059","5124460","2013-01-10","09:30",80,268.3977272625,214.71818181
"2013-01-10 09:45:00","2013-01-10 09:45:00_10NT","10NT","2080","NW","696600","5134383","2013-01-10","09:45",75,291.641025641333,218.730769231
"2013-01-10 11:00:00","2013-01-10 11:00:00_20BA","20BA","1320","SW","689890","5113367","2013-01-10","11:00",55,310.807713496364,170.944242423
"2013-01-11 14:15:00","2013-01-11 14:15:00_10MS","10MS","1985","SW","696357","5135781","2013-01-11","14:15",41,199.594120243902,81.8335893
"2013-01-16 08:20:00","2013-01-16 08:20:00_12FO","12FO","1360","NW","671070","5087375","2013-01-16","08:20",50,183.188,91.594
"2013-01-16 08:20:00","2013-01-16 08:20:00_26SP","26SP","1980","SW","714927","5140531","2013-01-16","08:20",80,186.03846153875,148.830769231
"2013-01-16 08:30:00","2013-01-16 08:30:00_16PT","16PT","1608","S ","705786","5110460","2013-01-16","08:30",60,223,133.8
"2013-01-16 08:30:00","2013-01-16 08:30:00_18SB","18SB","1600","SW","715519","5120132","2013-01-16","08:30",44,158.636363636364,69.8
"2013-01-16 08:30:00","2013-01-16 08:30:00_19PF","19PF","1170","SE","669131","5069560","2013-01-16","08:30",70,140,98
"2013-01-16 08:30:00","2013-01-16 08:30:00_1PEI","1PEI","1985","SE","627885","5136546","2013-01-16","08:30",77,242.461440302597,186.695309033
"2013-01-16 08:30:00","2013-01-16 08:30:00_25TO","25TO","1880","S ","623059","5124460","2013-01-16","08:30",112,240.961850647321,269.877272725
"2013-01-16 08:45:00","2013-01-16 08:45:00_10PM","10PM","1760","SE","695429","5135226","2013-01-16","08:45",57,199.330663610526,113.618478258
"2013-01-16 08:45:00","2013-01-16 08:45:00_2RAB","2RAB","1335","S ","638591","5141136","2013-01-16","08:45",33,156.969696969697,51.8
"2013-01-16 08:50:00","2013-01-16 08:50:00_3PIN","3PIN","1885","W ","639889","5114784","2013-01-16","08:50",88,206.818181818182,182
"2013-01-16 08:55:00","2013-01-16 08:55:00_22CI","22CI","2145","NE","712858","5147444","2013-01-16","08:55",95,243.024373330526,230.873154664
