"Datetime","Filter_code","Ordine","Codice.Stazione","Nome.breve","Località","Provincia","Altitudine","Esposizione","Pendenza","LatUTM","LongUTM","Expr1","Expr2","Data","Ora","IDStratigrafica","IDRilievo","Da","A","ContAcqua","FomaGrani1","FomaGrani2","DimGrani","DimGrani2","TestMano","Commento","SWE","density","density_from_grain_hardness","density_estimated","density_final","SWE_calc"
"2012-10-31 08:30:00","2012-10-31 08:30:00_19PF",19,"19PF","VALLARSA","VALLARSA PIAN FUGAZZE","TN","1170","SE","2","669131","5069560","19PF","VALLARSA PIAN FUGAZZE","2012-10-31",830,7841,1346,25,22,"3","6a","6a","1","1","2","","NULL",NaN,351.1226766,351.1226766,351.1226766,10.533680298
"2012-10-31 08:30:00","2012-10-31 08:30:00_19PF",19,"19PF","VALLARSA","VALLARSA PIAN FUGAZZE","TN","1170","SE","2","669131","5069560","19PF","VALLARSA PIAN FUGAZZE","2012-10-31",830,7842,1346,22,0,"2","3b","4c","1","1","2","","NULL",220,263.9316239,NaN,220,48.4
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7843,1347,75,70,"1","9b","9b","0,5","-  ","5","","NULL",NaN,359.5737705,359.5737705,359.5737705,17.978688525
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7844,1347,70,50,"1","2a","2b","0,8","-  ","1","","NULL",210,150.3932203,NaN,210,42
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7845,1347,50,49,"1","8a","8a","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7846,1347,49,27,"1","2a","2b","1","-  ","3","","NULL",260,230.1149425,NaN,260,57.2
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7847,1347,27,23,"1","3a","2b","0,5","-  ","2","","NULL",NaN,196.4347826,196.4347826,196.4347826,7.857391304
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7848,1347,23,16,"1","3a","3a","0,5","-  ","2","","NULL",270,250.7726161,NaN,270,18.9
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7849,1347,16,8,"1","4a","3c","2","-  ","4","","NULL",250,340,NaN,250,20
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7850,1347,8,1,"-","3b","3b","1","-  ","3","","NULL",290,286.5103011,NaN,290,20.3
"2012-11-07 09:00:00","2012-11-07 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-07",900,7851,1347,1,0,"1","8c","8c","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7858,1350,118,117,"1","7a","7a","2","-  ","1","","NULL",NaN,400,400,400,4
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7859,1350,117,105,"1","2b","2b","1","-  ","1","","NULL",190,150.3932203,NaN,190,22.8
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7860,1350,105,85,"1","2b","2b","0,5","-  ","2","","NULL",210,196.9756098,NaN,210,42
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7861,1350,85,69,"1","2b","2b","1","-  ","2","","NULL",270,196.9756098,NaN,270,43.2
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7862,1350,69,59,"1","9b","9b","1,5","-  ","5","","NULL",420,359.5737705,NaN,420,42
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7863,1350,59,47,"1","2b","2b","1","-  ","3","","NULL",280,230.1149425,NaN,280,33.6
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7864,1350,47,46,"2","3b","3a","1","   ","4","","NULL",NaN,326.893913,326.893913,326.893913,3.26893913
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7865,1350,46,45,"2","8a","8a","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7866,1350,45,42,"2","3a","3b","0,5","-  ","1","","NULL",NaN,218.033195,218.033195,218.033195,6.54099585
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7867,1350,42,41,"2","8a","8a","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7868,1350,41,20,"2","3a","3b","0,5","-  ","3","","NULL",320,286.5103011,NaN,320,67.2
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7869,1350,20,19,"2","8a","8a","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7870,1350,19,14,"2","3a","3a","0,5","-  ","4","","NULL",NaN,326.893913,326.893913,326.893913,16.34469565
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7871,1350,14,1,"2","4a","4a","2,5","-  ","2","","NULL",280,290.8539326,NaN,280,36.4
"2012-11-14 09:00:00","2012-11-14 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-14",900,7872,1350,1,0,"2","8c","8c","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7873,1352,108,107,"1","7a","7a","4","-  ","1","","NULL",NaN,400,400,400,4
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7874,1352,107,95,"1","2b","2b","1","-  ","1","","NULL",210,150.3932203,NaN,210,25.2
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7875,1352,95,80,"1","2b","2b","1","-  ","2","","NULL",230,196.9756098,NaN,230,34.5
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7876,1352,80,63,"1","2b","2a","1","-  ","2","","NULL",280,196.9756098,NaN,280,47.6
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7877,1352,63,55,"1","9b","9b","2","-  ","5","","NULL",450,359.5737705,NaN,450,36
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7878,1352,55,40,"1","3a","3a","0,5","   ","3","","NULL",280,286.5103011,NaN,280,42
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7879,1352,40,39,"1","8a","8a","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7880,1352,39,28,"1","3a","3b","0,5","-  ","4","","NULL",320,326.893913,NaN,320,35.2
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7881,1352,28,20,"1","3b","3a","0,8","-  ","4","","NULL",330,326.893913,NaN,330,26.4
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7882,1352,20,19,"1","8a","8a","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,3.189473684
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7883,1352,19,13,"1","3b","3b","1","-  ","4","","NULL",320,326.893913,NaN,320,19.2
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7884,1352,13,2,"1","4a","4a","2","-  ","2","","NULL",300,290.8539326,NaN,300,33
"2012-11-21 09:00:00","2012-11-21 09:00:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-21",900,7885,1352,2,0,"1","8c","8c","/  ","-  ","6","","NULL",NaN,318.9473684,318.9473684,318.9473684,6.378947368
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-28",920,7886,1354,145,134,"1","1f","1b","2","-  ","1","","NULL",120,127.0920245,NaN,120,13.2
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-28",920,7887,1354,134,110,"1","1f","2b","1","-  ","1","","NULL",110,127.4897959,NaN,110,26.4
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-28",920,7888,1354,110,102,"1","2b","1f","1","-  ","1","","NULL",160,127.4897959,NaN,160,12.8
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-28",920,7889,1354,102,78,"1","3b","3a","1","-  ","2","","NULL",260,250.7726161,NaN,260,62.4
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-28",920,7890,1354,78,61,"1","2b","2b","1","-  ","3","","NULL",300,230.1149425,NaN,300,51
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-28",920,7891,1354,61,54,"1","9b","9b","3","-  ","5","","NULL",400,359.5737705,NaN,400,28
"2012-11-28 09:20:00","2012-11-28 09:20:00_30PN",30,"30PN","PRESENA","PRESENA","TN","2735","NE","0","621741","5120602","30PN","PRESENA","2012-11-28",920,7892,1354,54,50,"1","3b","3c","2","-  ","2","","NULL",NaN,250.7726161,250.7726161,250.7726161,10.030904644
