"","N.R_1","N.R_2","N.R_3","N.R_4","N.R_5","N.R_6"
"Grain shape 1",163,22,11,1,0,0
"Grain shape 1-2",98,10,4,1,0,0
"Grain shape 2",295,164,87,18,1,0
"Grain shape 2-3",96,92,54,13,0,0
"Grain shape 3",241,409,631,575,406,2
"Grain shape 3-4",60,117,125,89,36,0
"Grain shape 4",164,267,268,184,55,1
"Grain shape 4-5",46,62,39,40,22,1
"Grain shape 5",93,70,23,19,7,0
"Grain shape 5-6",14,26,22,14,3,0
"Grain shape 6",119,269,372,345,162,4
"Grain shape 6-7",0,1,0,0,0,0
"Grain shape 7",2,2,2,1,0,0
"Grain shape 7-8",1,0,2,1,0,0
"Grain shape 8",0,3,2,6,22,19
"Grain shape 8-9",0,0,0,0,0,0
"Grain shape 9",3,8,13,31,61,2
