"","Sd.R_1","Sd.R_2","Sd.R_3","Sd.R_4","Sd.R_5","Sd.R_6"
"Grain shape 1",54.2805708158836,54.3620220119656,69.1627855793194,NaN,NaN,NaN
"Grain shape 1-2",49.8222086234931,54.2180781658664,69.7614984548545,NaN,NaN,NaN
"Grain shape 2",56.7328860718642,56.2158363840841,51.4328248475522,70.2307122360045,NaN,NaN
"Grain shape 2-3",62.0229159687221,55.0059545923127,44.4836043414442,83.312817987544,NaN,NaN
"Grain shape 3",76.741550415443,80.9105632676359,71.3115196179877,71.2169053734297,55.6063376007261,98.9949493661167
"Grain shape 3-4",69.4400525918205,53.9469289809721,71.3502944361762,68.6393738051538,53.3177060438442,NaN
"Grain shape 4",81.8452781691252,73.7990897760255,60.4126506285972,75.489670197227,84.3844816346035,NaN
"Grain shape 4-5",123.951057818397,53.6585853928001,138.552785947909,74.5301694204847,51.2611512522459,NaN
"Grain shape 5",100.539684423577,58.7391679807645,60.7235685599597,51.5604454224723,48.5994317035165,NaN
"Grain shape 5-6",98.8949937065561,48.0768615384222,90.3384688880599,52.7277894493955,23.094010767585,NaN
"Grain shape 6",83.3208996089008,84.5943999697499,100.540078831906,96.1507856234295,93.3045372778582,23.094010767585
"Grain shape 6-7",NaN,NaN,NaN,NaN,NaN,NaN
"Grain shape 7",113.137084989848,7.07106781186548,113.137084989848,NaN,NaN,NaN
"Grain shape 7-8",NaN,NaN,28.2842712474619,NaN,NaN,NaN
"Grain shape 8",NaN,58.5946527708232,7.07106781186548,73.5980072193987,59.3999577302457,100.271561097413
"Grain shape 8-9",NaN,NaN,NaN,NaN,NaN,NaN
"Grain shape 9",162.583311976763,46.0062107608465,42.1079199566652,86.436004047497,70.4254828444916,35.3553390593274
