,Hardness.1,Hardness.2,Hardness.3,Hardness.4,Hardness.5,Hardness.6
Grain_shape.1,127.0920245,183.9090909,255.0909091,320,NaN,NaN
Grain_shape.1-2,127.4897959,181.4,240,100,NaN,NaN
Grain_shape.2,150.3932203,196.9756098,230.1149425,298.3333333,340,NaN
Grain_shape.2-3,176.25,196.4347826,222.037037,240.7692308,NaN,NaN
Grain_shape.3,218.033195,250.7726161,286.5103011,326.893913,376.2315271,370
Grain_shape.3-4,245.3333333,263.9316239,305.68,340,384.7222222,NaN
Grain_shape.4,256.1585366,290.8539326,305.9328358,333.6413043,364,520
Grain_shape.4-5,246.9565217,282.7419355,321.3846154,329.85,340.9090909,140
Grain_shape.5,256.344086,283,293.4782609,288.4210526,354.2857143,NaN
Grain_shape.5-6,274.2857143,289.2307692,290.9090909,324.2857143,286.6666667,NaN
Grain_shape.6,322.7563025,351.1226766,363.1935484,369.1710145,387.9506173,340
Grain_shape.6-7,NaN,370,NaN,NaN,NaN,NaN
Grain_shape.7,400,305,440,220,NaN,NaN
Grain_shape.7-8,320,NaN,280,470,NaN,NaN
Grain_shape.8,NaN,293.3333333,285,281.6666667,349.5454545,318.9473684
Grain_shape.8-9,NaN,NaN,NaN,NaN,NaN,NaN
Grain_shape.9,183.3333333,256,283.0769231,320.1290323,359.5737705,335
