,Hardness.1,Hardness.2,Hardness.3,Hardness.4,Hardness.5,Hardness.6
Grain_shape.1,109,171,NaN,NaN,NaN,NaN
Grain_shape.1-2,139,165,207,NaN,NaN,NaN
Grain_shape.2,156,202,246,NaN,NaN,NaN
Grain_shape.2-3,190,224,254,317,400,NaN
Grain_shape.3,245,281,328,364,415,NaN
Grain_shape.3-4,242,299,240,387,437,NaN
Grain_shape.4,264,320,247,381,387,NaN
Grain_shape.4-5,266,306,333,336,347,NaN
Grain_shape.5,260,313,335,356,359,NaN
Grain_shape.5-6,NaN,NaN,NaN,NaN,NaN,NaN
Grain_shape.6,408,433,426,407,422,NaN
Grain_shape.6-7,NaN,NaN,NaN,NaN,NaN,NaN
Grain_shape.7,50,50,50,50,50,NaN
Grain_shape.7-8,NaN,NaN,NaN,NaN,NaN,NaN
Grain_shape.8,600,600,600,600,600,650
Grain_shape.8-9,NaN,NaN,NaN,NaN,NaN,NaN
Grain_shape.9,254.5,300.5,337.5,372.5,401,650
